Species,Fx.group,Family
Abutilon figarianum webb,Dwarf shrub,Malvaceae
Acacia mellifera (Vahl) Benth.,Shrub,Fabaceae
Aerva lanata (L.) Juss. Ex Schultes,Herb,Amaranthaceae
Alysicarpus glumaceus (Vahl) DC.,Herb,Fabaceae
Aristida kenyensis Henr.,Grass,Poaceae
Aspilia mossambicensis (Oliv.) Wild,Herb,Asteraceae
Barleria homoiotricha C B. Clarke,Dwarf shrub,Acanthaceae
Bothriochloa insculpta (Hochst. Ex A. Rich.) A. Camus,Grass,Poaceae
Brachiaria deflexa (Schumach. ) Robyns,Grass,Poaceae
Cenchrus ciliaris L.,Grass,Poaceae
Chamaecrista mimosoides (L.) Greene,Herb,Fabaceae
Chloris virgata Sw.,Grass,Poaceae
Chrysopogon plumulosus Hochst.,Grass,Poaceae
Commelina forskaolii Vahl,Herb,Commelinaceae
Commelina schweinfurthii C.B. Clarke,Herb,Commelinaceae
Commicarpus pedunculosus (A. Rich.) Cufod.,Herb,Nyctaginaceae
Convolvulus sp.,Climber,Convolvulaceae
Corchorus tridens L.,Herb,Tiliaceae
Corchorus trilocularis L.,Herb,Tiliaceae
Crotolaria sp.,Herb,Fabaceae
Cyathula orthacantha (Aschers.) Schin,Herb,Amaranthaceae
Cynodon nlemfuensis Vanderyst,Grass,Poaceae
Cyperus bulbosus Vahl,Cyperaceae,Cyperaceae
Dichrostachys cinerea Wight et Arn,Shrub,Fabaceae
Digitaria macroblephara (Hack.) Stapf,Grass,Poaceae
Digixa like,Herb,Unkown
Dyschoriste radicans Nees,Herb,Acanthaceae
Eragrostis tremula Hochst. Ex Steud.,Grass,Poaceae
Flueggea virosa (Wild.) Voigt,Dwarf shrub,Euphorbiaceae
Fuerstia africana TCF. Fr. ,Herb,Lamiaceae
Heteropogon contortus (L.) Roem. Schult.,Grass,Poaceae
Hybanthus enneaspermus (L.) F. Muell.,Herb,Violaceae
Hyperhenia sp.,Grass,Poaceae
Hypoestes forskaolii (Vahl) R. Br.,Herb,Acanthaceae
Indigofera sp.,Dwarf shrub,Fabaceae
Ischaemum afrum (JF. GmeL.) Dandy,Grass,Poaceae
Justicia matammensis (Schweinf) Oliv.,Herb,Acanthaceae
Lintonia nutans Stapf,Grass,Poaceae
Monechma debile (Forssk.) Nees,Herb,Acanthaceae
Oxygonum sinuatum (Meisn.) Dammer,Herb,Polygonaceae
Panicum porphyrrhizos Steud.,Grass,Poaceae
Pentanisia ouranogyne S. Moore,Herb,Rubiaceae
Phyllanthus maderaspatensis L.,Dwarf shrub,Euphorbiaceae
Phyllanthus pseudoniruri Muell. Arg.,Dwarf shrub,Euphorbiaceae
Plectranthus punctatus (L.f.) LHer.,Herb,Lamiaceae
Polygala erioptera DC.,Herb,Polygalaceae
Polygala sphenoptera Fresen,Herb,Polygalaceae
Portulaca quadrifida L.,Herb,Portulacaceae
Rhynchosia minima (L.) DC.,Climber,Fabaceae
Rosett,Herb,Unkown
Ruellia linearibracteolata Lindau,Herb,Acanthaceae
Scrambling herb,Herb,Unkown
Sehima nervosum (Rottler) Stapf,Grass,Poaceae
Setaria incrassata (Hochst.) Wild,Grass,Poaceae
Sida alba L. ,Dwarf shrub,Malvaceae
Solanum sp.,Dwarf shrub,Solanaceae
Sporobolus pyramidalis P. Beauv.,Grass,Poaceae
Tephrosia sp.,Dwarf shrub,Fabaceae
Tetrapogon villosus Desj,Grass,Poaceae
Themeda triandra Forssk.,Grass,Poaceae
Thunbergia ruspolii Lindau,Herb,Acanthaceae
Triumfetta flavescens Hochst.,Dwarf shrub,Tiliaceae
unidentified herb,Herb,Unknwon
Vigna membranaceae A. Rich.,Climber,Fabaceae
Ximenia americana L.,Shrub,Olacaceae