OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK
1,0,12,2863.118572,1
2,0,13,2894.933951,2
3,0,16,3107.568835,3
4,0,17,3161.277038,4
5,0,15,3820.950552,5
6,0,14,3886.59991,6
7,0,6,5254.90711,7
8,0,7,5261.988115,8
9,0,11,5309.2008,9
10,0,10,5318.59341,10
11,0,8,5783.465102,11
12,0,9,5856.268949,12
13,0,4,6984.402486,13
14,0,5,6997.719219,14
15,0,0,7028.862017,15
16,0,1,7066.776532,16
17,0,2,8094.427844,17
18,0,3,8105.405318,18
19,1,12,1515.582588,1
20,1,16,1519.477762,2
21,1,13,1562.734343,3
22,1,17,1579.481176,4
23,1,15,2185.396059,5
24,1,14,2252.13641,6
25,1,11,3731.30387,7
26,1,10,3734.703198,8
27,1,7,3785.773982,9
28,1,6,3787.495158,10
29,1,8,4116.887576,11
30,1,9,4189.269657,12
31,1,4,5347.588532,13
32,1,5,5358.184487,14
33,1,0,5426.691192,15
34,1,1,5460.76302,16
35,1,2,6435.446382,17
36,1,3,6447.83217,18
37,2,16,1752.311821,1
38,2,17,1815.5053,2
39,2,12,1925.416482,3
40,2,13,1976.063224,4
41,2,15,2025.509997,5
42,2,14,2088.832533,6
43,2,10,3889.878909,7
44,2,11,3893.3962,8
45,2,7,4036.34027,9
46,2,6,4044.194414,10
47,2,8,4085.556875,11
48,2,9,4151.082633,12
49,2,4,5406.803141,13
50,2,5,5411.947345,14
51,2,0,5539.090806,15
52,2,1,5567.82594,16
53,2,2,6310.63058,17
54,2,3,6318.148622,18
55,3,12,505.8231672,1
56,3,13,517.2850027,2
57,3,16,1093.292055,3
58,3,17,1111.201974,4
59,3,15,2447.320623,5
60,3,14,2507.483887,6
61,3,6,2857.935361,7
62,3,7,2869.902761,8
63,3,11,3021.439339,9
64,3,10,3040.765115,10
65,3,8,3834.601624,11
66,3,9,3918.212036,12
67,3,0,4745.638743,13
68,3,4,4789.082541,14
69,3,1,4790.42099,15
70,3,5,4811.712788,16
71,3,2,6271.922222,17
72,3,3,6295.749017,18
73,4,16,142.3660464,1
74,4,17,201.239689,2
75,4,12,771.4905233,3
76,4,13,810.5546637,4
77,4,15,1342.744708,5
78,4,14,1398.94215,6
79,4,11,2310.599051,7
80,4,10,2313.66593,8
81,4,7,2409.687517,9
82,4,6,2417.45969,10
83,4,8,2817.824589,11
84,4,9,2897.221788,12
85,4,4,3950.577343,13
86,4,5,3964.295395,14
87,4,0,4008.777902,15
88,4,1,4044.014965,16
89,4,2,5224.765165,17
90,4,3,5244.569875,18
91,5,6,809.7305025,1
92,5,7,849.6365061,2
93,5,11,1424.215049,3
94,5,10,1471.424622,4
95,5,13,1837.777081,5
96,5,12,1878.619521,6
97,5,17,1945.07194,7
98,5,16,2005.984896,8
99,5,8,2826.98693,9
100,5,0,2847.877831,10
101,5,1,2905.241988,11
102,5,9,2908.245227,12
103,5,15,2961.493112,13
104,5,14,2979.36057,14
105,5,4,3087.305403,15
106,5,5,3127.526406,16
107,5,2,5075.494406,17
108,5,3,5116.425096,18
109,6,10,502.7873512,1
110,6,11,506.4975123,2
111,6,7,920.8807994,3
112,6,6,959.3408555,4
113,6,8,1487.310469,5
114,6,9,1572.479814,6
115,6,17,1668.704617,7
116,6,16,1724.54657,8
117,6,14,1936.963135,9
118,6,15,1944.806069,10
119,6,13,2074.484277,11
120,6,12,2084.454426,12
121,6,4,2199.394593,13
122,6,0,2200.533123,14
123,6,5,2221.65847,15
124,6,1,2238.489237,16
125,6,2,3864.302955,17
126,6,3,3898.336439,18
127,7,14,339.9384208,1
128,7,15,402.4522935,2
129,7,16,1676.060612,3
130,7,17,1678.651932,4
131,7,8,1753.375523,5
132,7,9,1803.544169,6
133,7,10,2176.055726,7
134,7,11,2207.66557,8
135,7,12,2363.59242,9
136,7,13,2394.136122,10
137,7,7,2714.581413,11
138,7,6,2749.992169,12
139,7,5,3202.923896,13
140,7,4,3211.245866,14
141,7,0,3482.434948,15
142,7,1,3493.70979,16
143,7,2,3883.244767,17
144,7,3,3891.566881,18
145,8,14,739.7552457,1
146,8,15,755.8492519,2
147,8,17,1320.670184,3
148,8,16,1339.377483,4
149,8,8,1555.930241,5
150,8,10,1619.786598,6
151,8,9,1627.302873,7
152,8,11,1645.737418,8
153,8,12,1989.096166,9
154,8,13,2009.593412,10
155,8,7,2110.671553,11
156,8,6,2144.392859,12
157,8,4,2883.09379,13
158,8,5,2884.194673,14
159,8,0,3076.679945,15
160,8,1,3096.695433,16
161,8,2,3909.53622,17
162,8,3,3927.024258,18
163,9,9,1127.519917,1
164,9,8,1190.152104,2
165,9,3,1966.61107,3
166,9,2,1968.376548,4
167,9,5,2251.428345,5
168,9,4,2291.148199,6
169,9,14,2305.867087,7
170,9,15,2371.902519,8
171,9,10,2575.094033,9
172,9,11,2625.76123,10
173,9,1,2765.5305,11
174,9,0,2791.606536,12
175,9,7,3313.350293,13
176,9,6,3362.956282,14
177,9,17,3470.811113,15
178,9,16,3489.234135,16
179,9,12,4133.100186,17
180,9,13,4150.538646,18
181,10,9,657.2851835,1
182,10,8,738.7283922,2
183,10,5,1666.797182,3
184,10,4,1704.974631,4
185,10,2,1835.695177,5
186,10,3,1851.88299,6
187,10,10,2126.074714,7
188,10,1,2175.444488,8
189,10,11,2176.607638,9
190,10,0,2201.100167,10
191,10,14,2415.20278,11
192,10,15,2476.541897,12
193,10,7,2858.84114,13
194,10,6,2909.017877,14
195,10,17,3361.519622,15
196,10,16,3389.896541,16
197,10,12,3988.368833,17
198,10,13,3998.758728,18
199,11,4,610.9140488,1
200,11,5,619.1107469,2
201,11,1,888.1604018,3
202,11,0,890.5574128,4
203,11,8,980.9991141,5
204,11,9,983.9878003,6
205,11,10,1239.066795,7
206,11,11,1275.666095,8
207,11,7,1822.867364,9
208,11,6,1869.524571,10
209,11,2,2449.767858,11
210,11,3,2495.363086,12
211,11,14,2917.204063,13
212,11,15,2958.392356,14
213,11,17,3233.361778,15
214,11,16,3282.470252,16
215,11,13,3698.32415,17
216,11,12,3706.479219,18
217,12,2,994.444604,1
218,12,3,1051.466431,2
219,12,5,1198.925005,3
220,12,4,1251.694521,4
221,12,1,1683.024697,5
222,12,0,1742.156773,6
223,12,9,1822.398999,7
224,12,8,1894.616029,8
225,12,10,2809.915375,9
226,12,11,2849.721575,10
227,12,7,3400.12126,11
228,12,6,3445.674877,12
229,12,14,3911.112984,13
230,12,15,3968.358655,14
231,12,17,4621.364448,15
232,12,16,4661.681721,16
233,12,13,5168.994032,17
234,12,12,5170.108976,18
235,13,2,624.1031674,1
236,13,3,640.7595807,2
237,13,9,1752.737524,3
238,13,5,1827.58986,4
239,13,8,1838.864142,5
240,13,4,1882.160126,6
241,13,1,2373.222829,7
242,13,0,2424.617349,8
243,13,10,3071.482276,9
244,13,11,3118.380683,10
245,13,14,3602.381116,11
246,13,15,3665.679169,12
247,13,7,3752.487685,13
248,13,6,3801.523342,14
249,13,17,4561.78878,15
250,13,16,4592.417836,16
251,13,12,5174.119418,17
252,13,13,5181.615236,18
253,14,3,214.77684,1
254,14,2,261.94198,2
255,14,5,2430.050524,3
256,14,4,2484.224541,4
257,14,9,2586.524674,5
258,14,8,2672.382475,6
259,14,1,2930.679746,7
260,14,0,2989.297157,8
261,14,10,3864.792617,9
262,14,11,3910.074075,10
263,14,14,4397.241142,11
264,14,15,4461.809234,12
265,14,7,4521.437707,13
266,14,6,4569.469377,14
267,14,17,5395.758691,15
268,14,16,5425.794491,16
269,14,12,6009.503517,17
270,14,13,6016.961722,18
271,15,0,1524.928526,1
272,15,1,1577.135007,2
273,15,6,1931.54849,3
274,15,7,1934.099355,4
275,15,4,2070.046768,5
276,15,5,2124.068339,6
277,15,11,2181.468464,7
278,15,10,2205.027394,8
279,15,8,3096.196656,9
280,15,9,3126.484929,10
281,15,17,4157.779811,11
282,15,16,4220.424581,12
283,15,2,4235.992367,13
284,15,13,4270.644928,14
285,15,3,4292.914639,15
286,15,12,4304.044471,16
287,15,14,4563.022557,17
288,15,15,4580.004325,18
289,16,2,2334.843598,1
290,16,3,2377.917271,2
291,16,5,2623.562716,3
292,16,4,2646.308125,4
293,16,1,2727.004935,5
294,16,0,2783.626148,6
295,16,9,3806.11066,7
296,16,8,3866.191991,8
297,16,10,4408.447188,9
298,16,11,4434.037578,10
299,16,7,4793.578273,11
300,16,6,4828.127205,12
301,16,14,5930.791561,13
302,16,15,5984.778014,14
303,16,17,6461.226837,15
304,16,16,6509.137893,16
305,16,13,6919.122638,17
306,16,12,6929.597531,18
